message,source
"Malaria is an infectious disease caused by the Plasmodium parasite, and it is transmitted through the bite of an infected female Anopheles mosquito.",FEDGEN-PHIS
Malaria is a life-threatening disease primarily found in tropical countries., WHO website
The risk of death for severe malaria is greatest in the first twenty four hours.,FMOH
"According to the World Health Organisation year two thousand and twenty four Malaria Report, Africa accounts for a more significant percentage of the world malaria burden,
accounting for ninety four percent and ninety five percent of estimated malaria cases and deaths worldwide in year two thousand and twenty three, with Nigeria at the forefront.",FEDGEN-PHIS
"Malaria is an acute febrile illness caused by Plasmodium parasites, which are spread
to people through the bites of infected female Anopheles mosquitoes.", WHO website
"Effective prevention strategies include using insecticide-treated nets, indoor residual spraying, and prompt access to antimalarial treatment.",FEDGEN-PHIS
"In year two thousand and twenty three, an estimated two hundred and sixty three million people contracted malaria in eighty three countries.", WHO website
"However, many individuals, particularly in low-income households, face significant barriers to implementing these preventive measures.",FEDGEN-PHIS
"The risk of malaria is increased by poverty, inadequate housing, and limited awareness.",FEDGEN-PHIS
"Low-income households often cannot afford mosquito-proofing measures, making them more susceptible to bites.",FEDGEN-PHIS
"It is preventable and curable.", WHO website
What is malaria and how is it transmitted?, WHO website
"However, without prompt diagnosis and effective treatment, a case of
uncomplicated malaria can progress to a severe form of the disease, which is often fatal without
treatment.", WHO website
"Malaria is not contagious and cannot spread from one person to another; the disease is
transmitted through the bites of female Anopheles mosquitoes.", WHO website
"Five species of parasites can
cause malaria in humans and 2 of these species – Plasmodium falciparum and Plasmodium
vivax – pose the greatest threat.", WHO website
"This risk of infection is higher in some areas than others depending on multiple factors,
including the type of local mosquitoes.", WHO website
"It may also vary according to the season, the risk being
highest during the rainy season in tropical countries.", WHO website
Who is at risk of malaria?, WHO website
Nearly half of the world’s population is at risk of malaria., WHO website
"That same year, the disease claimed approximately
five hundred and ninety seven thousand lives.", WHO website
Some people are more susceptible to developing severe malaria than others., WHO website
"Infants and
children under five years of age, pregnant women and patients with HIV/AIDS are at particular
risk.", WHO website
"Other vulnerable groups include people entering areas with intense malaria transmission who have not acquired partial immunity from long exposure to the disease, or who are not
taking chemopreventive therapies, such as migrants, mobile populations and travellers.", WHO website
Some people in areas where malaria is common will develop partial immunity., WHO website
"While it never
provides complete protection, partial immunity reduces the risk that malaria infection will
cause severe disease.", WHO website
"For this reason, most malaria deaths in Africa occur in young children, whereas in areas with less transmission and low immunity, all age groups are at risk.", WHO website
What are the symptoms and how is it diagnosed?, WHO website
"The first symptoms of malaria usually begin within 10–15 days after the bite from an infected
mosquito.", WHO website
"Fever, headache and chills are typically experienced, though these symptoms may
be mild and difficult to recognize as malaria.", WHO website
"In malaria endemic areas, people who have
developed partial immunity may become infected but experience no symptoms (asymptomatic
infections).", WHO website
World Health Organization recommends prompt diagnosis for anyone with suspected malaria., WHO website
"If Plasmodium
falciparum malaria is not treated within twenty four hours, the infection can progress to severe illness
and death.", WHO website
"Severe malaria can cause multi-organ failure in adults, while children frequently
suffer from severe anaemia, respiratory distress or cerebral malaria.", WHO website
"Human malaria caused by
other Plasmodium species can cause significant illness and occasionally life-threatening
disease.", WHO website
Malaria can be diagnosed using tests that determine the presence of the parasites causing the disease., WHO website
"There are two main types of tests: microscopic examination of blood smears and rapid
diagnostic tests.", WHO website
"Diagnostic testing enables health providers to distinguish malarial from other
causes of febrile illnesses, facilitating appropriate treatment.", WHO website
"What treatments are available for malaria
Malaria is a treatable disease.", WHO website
"Artemisinin-based combination therapies Artemisinin-based Combination Therapies are the most
effective antimalarial medicines available today and the mainstay of recommended treatment
for Plasmodium falciparum malaria, the deadliest malaria parasite globally.", WHO website
"Artemisinin-based Combination Therapies combine 2 active pharmaceuticals with different mechanisms of action, including
derivates of artemisinin extracted from the plant Artemisia annua and a partner drug.", WHO website
"The role of the artemisinin compound is to reduce the number of parasites during the first three days of treatment, while the role of the partner drug is to eliminate the remaining parasites.", WHO website
